timestamp,event,user
2025-08-17 22:21:52,Прогулка 🐾,Oleg
2025-08-17 22:21:57,Лужа 🚰,Oleg
2025-08-17 22:21:58,Кучка 💩,Oleg
2025-08-17 22:22:00,Покормил 🍖,Oleg
2025-08-17 22:22:06,Прогулка завершена ⏱,Oleg
2025-08-17 22:22:10,Лужа 🚰,Oleg
2025-08-17 22:22:12,Покормил 🍖,Oleg
2025-08-17 22:22:18,График дня 📅,Oleg
2025-08-17 22:22:22,Регулярность ⏱️,Oleg
2025-08-17 22:34:15,Прогулка 🐾,Oleg
2025-08-17 22:34:19,Прогулка завершена ⏱,Oleg
2025-08-17 22:35:32,Покормил 🍖,Oleg
2025-08-17 22:35:36,Покормил 🍖,Oleg
